Código Plan,Plan,Cohorte,Sede,RUN,DV,Nombres,Apellido Paterno,Apellido Materno,Número de alumno,Periodo Asignatura,Código Asignatura,Asignatura,Convocatoria,Calificación,Nota
WH3,Hechicería Castelobruxo,2021-01,Beauxbaton,22944111,8,SAUL,POZA,PARRA,643058,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
WH3,Hechicería Castelobruxo,2021-01,Beauxbaton,17554122,0,RASHID,LEIGHTON,BASAY,396057,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
WH3,Hechicería Castelobruxo,2021-01,Beauxbaton,19670591,8,JEANETTE,0,BEGAZO,382061,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
WH2,Hechicería PLAN 2016  (SEDE Hogwards),2021-01,Hogwarts,23640723,K,AXELL,WANDE,CATALÁ,445318,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
WH2,Hechicería PLAN 2016  (SEDE Hogwards),2021-01,Hogwarts,20572979,0,NICANOR,BORGOÑO,FLOR,519301,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
WH2,Hechicería PLAN 2016  (SEDE Hogwards),2021-01,Hogwarts,21710988,0,ENGHEL,URREJOLA,GUZÑAY,395298,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
WH2,Hechicería PLAN 2016  (SEDE Hogwards),2021-01,Hogwarts,17115727,6,CONNY,RICO,NAHMÍAS,409332,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
WH2,Hechicería PLAN 2016  (SEDE Hogwards),2021-01,Hogwarts,23007882,0,ARACE,IBAÑEZ,ASPEE,414290,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
WH2,Hechicería PLAN 2016  (SEDE Hogwards),2021-01,Hogwarts,8011501,3,GIULIANO,ELIZALDE,CAPRA,415312,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
WH2,Hechicería PLAN 2016  (SEDE Hogwards),2021-01,Hogwarts,4804530,0,JHOAN,MASSU,MAYA,643296,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
WH2,Hechicería PLAN 2016  (SEDE Hogwards),2021-01,Hogwarts,10387392,4,ROXANA,RUBIO,MONDINO,467315,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
WH2,Hechicería PLAN 2016  (SEDE Hogwards),2021-01,Hogwarts,12303008,8,MARCO,PORTILLA,MOREN,649295,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
WH2,Hechicería PLAN 2016  (SEDE Hogwards),2021-01,Hogwarts,9475895,0,ANALY,OTERO,MASCARO,521308,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
WH2,Hechicería PLAN 2016  (SEDE Hogwards),2021-01,Hogwarts,20321367,2,DINO,MÜHLENBROCK,GOMILA,399305,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
WH2,Hechicería PLAN 2016  (SEDE Hogwards),2021-01,Hogwarts,11268560,6,GLEEN,SANTELICES,GALICIA,463304,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
WH2,Hechicería PLAN 2016  (SEDE Hogwards),2021-01,Hogwarts,18785423,3,THAIS,LOYOLA,TOURREL,544310,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
WH2,Hechicería PLAN 2016  (SEDE Hogwards),2021-01,Hogwarts,12739547,4,MARSELLA,DUPERAT,LEIGHTON,494309,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
WH2,Hechicería PLAN 2016  (SEDE Hogwards),2021-01,Hogwarts,12938102,6,ELIAN,HUAIQUIO,SERRANO,508316,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
WH2,Hechicería PLAN 2016  (SEDE Hogwards),2021-01,Hogwarts,16689333,7,GUADALUPE,VOLANTE,LAUBREAUX,593297,2024-02,WH236032,CONCURSO DE ESCUELAS,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2019-01,Beauxbaton,15240335,1,MELANIE ALEXANDRA,CÉSPEDES,ROJAS,1588,2024-02,GH13470,ADIVINACION  I,MAR,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2019-01,Beauxbaton,15240335,1,MELANIE ALEXANDRA,CÉSPEDES,ROJAS,1588,2024-02,GH13470,ADIVINACION  I,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2020-01,Beauxbaton,10211115,K,EMILIO JOSÉ,GÓMEZ,ARCOS,1614,2024-02,GH13470,ADIVINACION  I,MAR,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2020-01,Beauxbaton,10211115,K,EMILIO JOSÉ,GÓMEZ,ARCOS,1614,2024-02,GH13470,ADIVINACION  I,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2020-01,Beauxbaton,24867377,4,MATÍAS ANDRÉS,MORALES,CASTRO,1700,2024-02,GH13470,ADIVINACION  I,MAR,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2020-01,Beauxbaton,24867377,4,MATÍAS ANDRÉS,MORALES,CASTRO,1700,2024-02,GH13470,ADIVINACION  I,DIC,,
HP2,Magia PLAN 2005,2020-01,Hogwarts,13895776,K,MONTSERRAT ESPERANZA,MÁRQUEZ,VEGA,4523,2024-02,GH13470,ADIVINACION  I,MAR,,
HP2,Magia PLAN 2005,2020-01,Hogwarts,13895776,K,MONTSERRAT ESPERANZA,MÁRQUEZ,VEGA,4523,2024-02,GH13470,ADIVINACION  I,DIC,,
HP2,Magia PLAN 2005,2020-01,Hogwarts,11196079,K,NICOLÁS ANTONIO,PAVEZ,RUIZ,4436,2024-02,GH13470,ADIVINACION  I,MAR,,
HP2,Magia PLAN 2005,2020-01,Hogwarts,11196079,K,NICOLÁS ANTONIO,PAVEZ,RUIZ,4436,2024-02,GH13470,ADIVINACION  I,DIC,,
HW2,Magia NOCTURNA PLAN 2005,2020-01,Hogwarts,24903634,9,CAMILA ANASTASIA,GUZMÁN,PEÑA,3138,2024-02,GH13470,ADIVINACION  I,MAR,,
HW2,Magia NOCTURNA PLAN 2005,2020-01,Hogwarts,24903634,9,CAMILA ANASTASIA,GUZMÁN,PEÑA,3138,2024-02,GH13470,ADIVINACION  I,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2021-01,Beauxbaton,5071463,K,MARTÍN ALEJANDRO,ARANCIBIA,CALDERÓN,1800,2024-02,GH13470,ADIVINACION  I,MAR,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2021-01,Beauxbaton,5071463,K,MARTÍN ALEJANDRO,ARANCIBIA,CALDERÓN,1800,2024-02,GH13470,ADIVINACION  I,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2021-01,Beauxbaton,14975254,7,FRANCO SEBASTIÁN,ARAYA,LEIPAN,1756,2024-02,GH13470,ADIVINACION  I,MAR,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2021-01,Beauxbaton,14975254,7,FRANCO SEBASTIÁN,ARAYA,LEIPAN,1756,2024-02,GH13470,ADIVINACION  I,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2021-01,Beauxbaton,5800775,0,FERNANDA MICHELLE,ARIAS,HONORES,1746,2024-02,GH13470,ADIVINACION  I,MAR,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2021-01,Beauxbaton,5800775,0,FERNANDA MICHELLE,ARIAS,HONORES,1746,2024-02,GH13470,ADIVINACION  I,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2021-01,Beauxbaton,4627729,5,VALERIA ANTONELLA,BERGAMASCO,BOERSCHEL,1778,2024-02,GH13470,ADIVINACION  I,MAR,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2021-01,Beauxbaton,4627729,5,VALERIA ANTONELLA,BERGAMASCO,BOERSCHEL,1778,2024-02,GH13470,ADIVINACION  I,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2021-01,Beauxbaton,8521854,2,CONSTANZA ANDREA,CARRIZO,LEDEZMA,1764,2024-02,GH13470,ADIVINACION  I,MAR,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2021-01,Beauxbaton,8521854,2,CONSTANZA ANDREA,CARRIZO,LEDEZMA,1764,2024-02,GH13470,ADIVINACION  I,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2021-01,Beauxbaton,24064741,2,AVRIL MICHELLE,CLAVIJO,ELIZALDE,1737,2024-02,GH13470,ADIVINACION  I,MAR,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2021-01,Beauxbaton,24064741,2,AVRIL MICHELLE,CLAVIJO,ELIZALDE,1737,2024-02,GH13470,ADIVINACION  I,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2021-01,Beauxbaton,10777216,7,ALONSO BASTIÁN,MALUENDA,RIVERA,1811,2024-02,GH13470,ADIVINACION  I,MAR,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2021-01,Beauxbaton,10777216,7,ALONSO BASTIÁN,MALUENDA,RIVERA,1811,2024-02,GH13470,ADIVINACION  I,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2021-01,Beauxbaton,10575567,K,NICOLAS MARCELO,PASTEN,PIZARRO,1733,2024-02,GH13470,ADIVINACION  I,MAR,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2021-01,Beauxbaton,10575567,K,NICOLAS MARCELO,PASTEN,PIZARRO,1733,2024-02,GH13470,ADIVINACION  I,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2021-01,Beauxbaton,8314860,2,FRANCISCO ANTONIO,POBLETE,ARAOS,1750,2024-02,GH13470,ADIVINACION  I,MAR,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2021-01,Beauxbaton,8314860,2,FRANCISCO ANTONIO,POBLETE,ARAOS,1750,2024-02,GH13470,ADIVINACION  I,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2021-01,Beauxbaton,10318976,6,AXEL PATRICIO,PORTFILTT,TAPIA,1725,2024-02,GH13470,ADIVINACION  I,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2021-01,Beauxbaton,10318976,6,AXEL PATRICIO,PORTFILTT,TAPIA,1725,2024-02,GH13470,ADIVINACION  I,MAR,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2021-01,Beauxbaton,8625677,1,MARÍA JOSÉ,VERGARA,VALDIVIA,1803,2024-02,GH13470,ADIVINACION  I,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2021-01,Beauxbaton,8625677,1,MARÍA JOSÉ,VERGARA,VALDIVIA,1803,2024-02,GH13470,ADIVINACION  I,MAR,,
HP2,Magia PLAN 2005,2021-01,Hogwarts,15504675,8,PEDRO PABLO,AGUIRRE,PUEBLA,4644,2024-02,GH13470,ADIVINACION  I,MAR,,
HP2,Magia PLAN 2005,2021-01,Hogwarts,15504675,8,PEDRO PABLO,AGUIRRE,PUEBLA,4644,2024-02,GH13470,ADIVINACION  I,DIC,,
HP2,Magia PLAN 2005,2021-01,Hogwarts,13647342,6,DIEGO ALFONSO,ARAYA,CABRERA,4574,2024-02,GH13470,ADIVINACION  I,MAR,,
HP2,Magia PLAN 2005,2021-01,Hogwarts,13647342,6,DIEGO ALFONSO,ARAYA,CABRERA,4574,2024-02,GH13470,ADIVINACION  I,DIC,,
HP2,Magia PLAN 2005,2021-01,Hogwarts,14476279,9,MONSERRAT ISIDORA,BELTRÁN,CARROZA,4634,2024-02,GH13470,ADIVINACION  I,MAR,,
HP2,Magia PLAN 2005,2021-01,Hogwarts,14476279,9,MONSERRAT ISIDORA,BELTRÁN,CARROZA,4634,2024-02,GH13470,ADIVINACION  I,DIC,,
HP2,Magia PLAN 2005,2021-01,Hogwarts,25215855,3,AILYN FRANCESCA,CÁRDENAS,RIVERA,4779,2024-02,GH13470,ADIVINACION  I,MAR,,
HP2,Magia PLAN 2005,2021-01,Hogwarts,25215855,3,AILYN FRANCESCA,CÁRDENAS,RIVERA,4779,2024-02,GH13470,ADIVINACION  I,DIC,,
HP2,Magia PLAN 2005,2021-01,Hogwarts,4942135,K,MARIANGEL CAROLINA,GRUBER,RON,4584,2024-02,GH13470,ADIVINACION  I,MAR,,
HP2,Magia PLAN 2005,2021-01,Hogwarts,4942135,K,MARIANGEL CAROLINA,GRUBER,RON,4584,2024-02,GH13470,ADIVINACION  I,DIC,,
HP2,Magia PLAN 2005,2021-01,Hogwarts,10704005,2,FERNANDO CRISTÓBAL,LAGOS,CORTÉS,4551,2024-02,GH13470,ADIVINACION  I,MAR,,
HP2,Magia PLAN 2005,2021-01,Hogwarts,10704005,2,FERNANDO CRISTÓBAL,LAGOS,CORTÉS,4551,2024-02,GH13470,ADIVINACION  I,DIC,,
HP2,Magia PLAN 2005,2021-01,Hogwarts,23935462,4,BRANCO RAFAEL,MONSALVES,ARIAS,4587,2024-02,GH13470,ADIVINACION  I,MAR,,
HP2,Magia PLAN 2005,2021-01,Hogwarts,23935462,4,BRANCO RAFAEL,MONSALVES,ARIAS,4587,2024-02,GH13470,ADIVINACION  I,DIC,,
HP2,Magia PLAN 2005,2021-01,Hogwarts,22481474,7,HÉCTOR ALONSO,NÚÑEZ,VARGAS,4648,2024-02,GH13470,ADIVINACION  I,MAR,,
HP2,Magia PLAN 2005,2021-01,Hogwarts,22481474,7,HÉCTOR ALONSO,NÚÑEZ,VARGAS,4648,2024-02,GH13470,ADIVINACION  I,DIC,,
HP2,Magia PLAN 2005,2021-01,Hogwarts,21226546,3,PALOMA GISELLE,RAMOS,RIVERA,4600,2024-02,GH13470,ADIVINACION  I,MAR,,
HP2,Magia PLAN 2005,2021-01,Hogwarts,21226546,3,PALOMA GISELLE,RAMOS,RIVERA,4600,2024-02,GH13470,ADIVINACION  I,DIC,,
HP2,Magia PLAN 2005,2021-01,Hogwarts,4272803,6,ISIDORA VALENTINA,SÁNCHEZ,VALENZUELA,4601,2024-02,GH13470,ADIVINACION  I,MAR,,
HP2,Magia PLAN 2005,2021-01,Hogwarts,4272803,6,ISIDORA VALENTINA,SÁNCHEZ,VALENZUELA,4601,2024-02,GH13470,ADIVINACION  I,DIC,,
HP2,Magia PLAN 2005,2021-01,Hogwarts,12286133,6,CONSTANZA ANTONIA,TORO,CONTRERAS,4552,2024-02,GH13470,ADIVINACION  I,MAR,,
HP2,Magia PLAN 2005,2021-01,Hogwarts,12286133,6,CONSTANZA ANTONIA,TORO,CONTRERAS,4552,2024-02,GH13470,ADIVINACION  I,DIC,,
HP2,Magia PLAN 2005,2021-01,Hogwarts,20891814,0,ANTONIA,UGARTE,TAPIA,4605,2024-02,GH13470,ADIVINACION  I,MAR,,
HP2,Magia PLAN 2005,2021-01,Hogwarts,20891814,0,ANTONIA,UGARTE,TAPIA,4605,2024-02,GH13470,ADIVINACION  I,DIC,,
HP2,Magia PLAN 2005,2021-01,Hogwarts,25344550,2,NAIRA DE LA PAZ BELÉN,VARGAS,BUSTOS,4546,2024-02,GH13470,ADIVINACION  I,MAR,,
HP2,Magia PLAN 2005,2021-01,Hogwarts,25344550,2,NAIRA DE LA PAZ BELÉN,VARGAS,BUSTOS,4546,2024-02,GH13470,ADIVINACION  I,DIC,,
HW2,Magia NOCTURNA PLAN 2005,2021-01,Hogwarts,23457400,9,MAURICIO ESTEBAN,CASTRO,DONOSO,3248,2024-02,GH13470,ADIVINACION  I,MAR,,
HW2,Magia NOCTURNA PLAN 2005,2021-01,Hogwarts,23457400,9,MAURICIO ESTEBAN,CASTRO,DONOSO,3248,2024-02,GH13470,ADIVINACION  I,DIC,,
HW2,Magia NOCTURNA PLAN 2005,2021-01,Hogwarts,8028484,3,KEPLER,JOZIL,LAGUERRE,3261,2024-02,GH13470,ADIVINACION  I,MAR,,
HW2,Magia NOCTURNA PLAN 2005,2021-01,Hogwarts,8028484,3,KEPLER,JOZIL,LAGUERRE,3261,2024-02,GH13470,ADIVINACION  I,DIC,,
HW2,Magia NOCTURNA PLAN 2005,2021-01,Hogwarts,24597865,6,CLAUDIA ALEJANDRA,KROYER,URBINA,3198,2024-02,GH13470,ADIVINACION  I,DIC,,
HW2,Magia NOCTURNA PLAN 2005,2021-01,Hogwarts,24597865,6,CLAUDIA ALEJANDRA,KROYER,URBINA,3198,2024-02,GH13470,ADIVINACION  I,MAR,,
HW2,Magia NOCTURNA PLAN 2005,2021-01,Hogwarts,24407748,4,LORENA AIDA,ROA,HERNADEZ,3224,2024-02,GH13470,ADIVINACION  I,MAR,,
HW2,Magia NOCTURNA PLAN 2005,2021-01,Hogwarts,24407748,4,LORENA AIDA,ROA,HERNADEZ,3224,2024-02,GH13470,ADIVINACION  I,DIC,,
HW2,Magia NOCTURNA PLAN 2005,2021-01,Hogwarts,14919123,9,VERONICA DEL PILAR,TORRES,MENESES,3254,2024-02,GH13470,ADIVINACION  I,MAR,,
HW2,Magia NOCTURNA PLAN 2005,2021-01,Hogwarts,14919123,9,VERONICA DEL PILAR,TORRES,MENESES,3254,2024-02,GH13470,ADIVINACION  I,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,14983442,3,VICENTE JAVIER,ACEVEDO,ÁLVAREZ,1881,2024-02,GH13470,ADIVINACION  I,MAR,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,14983442,3,VICENTE JAVIER,ACEVEDO,ÁLVAREZ,1881,2024-02,GH13470,ADIVINACION  I,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,12260468,5,CAMILA ANTONIA,ACUÑA,SANTANA,1922,2024-02,GH13470,ADIVINACION  I,MAR,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,12260468,5,CAMILA ANTONIA,ACUÑA,SANTANA,1922,2024-02,GH13470,ADIVINACION  I,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,5959112,0,ROBERTO ALEX,BACHO,OLIVARES,1919,2024-02,GH13470,ADIVINACION  I,MAR,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,5959112,0,ROBERTO ALEX,BACHO,OLIVARES,1919,2024-02,GH13470,ADIVINACION  I,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,21243945,3,FERNANDA ISIDORA,BELTRÁN,BAEZA,1852,2024-02,GH13470,ADIVINACION  I,MAR,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,21243945,3,FERNANDA ISIDORA,BELTRÁN,BAEZA,1852,2024-02,GH13470,ADIVINACION  I,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,23908030,8,FERNANDA ARACELIS,CÁRCAMO,AREYUNA,1854,2024-02,GH13470,ADIVINACION  I,MAR,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,23908030,8,FERNANDA ARACELIS,CÁRCAMO,AREYUNA,1854,2024-02,GH13470,ADIVINACION  I,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,5801621,8,FERNANDA ANDREA,CAZAUX,CARVAJAL,1831,2024-02,GH13470,ADIVINACION  I,MAR,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,5801621,8,FERNANDA ANDREA,CAZAUX,CARVAJAL,1831,2024-02,GH13470,ADIVINACION  I,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,19410678,8,ANAÍS ESTEFANÍA,CORTÉS,ORTEGA,1923,2024-02,GH13470,ADIVINACION  I,MAR,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,19410678,8,ANAÍS ESTEFANÍA,CORTÉS,ORTEGA,1923,2024-02,GH13470,ADIVINACION  I,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,24670919,K,CRISTHIAN BENJAMÍN,DE BERDUCCY,ESCALIER,1897,2024-02,GH13470,ADIVINACION  I,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,24670919,K,CRISTHIAN BENJAMÍN,DE BERDUCCY,ESCALIER,1897,2024-02,GH13470,ADIVINACION  I,MAR,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,18982976,5,DIEGO NICOLÁS,FARFÁN,PEÑA,1823,2024-02,GH13470,ADIVINACION  I,MAR,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,18982976,5,DIEGO NICOLÁS,FARFÁN,PEÑA,1823,2024-02,GH13470,ADIVINACION  I,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,14704738,1,PIA CECILIA MARIA DE LOS ANGELES,FIGUEROA,ARAYA,1915,2024-02,GH13470,ADIVINACION  I,MAR,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,14704738,1,PIA CECILIA MARIA DE LOS ANGELES,FIGUEROA,ARAYA,1915,2024-02,GH13470,ADIVINACION  I,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,10804893,8,JUAN PABLO,GALAZ,DÍAZ,1947,2024-02,GH13470,ADIVINACION  I,MAR,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,10804893,8,JUAN PABLO,GALAZ,DÍAZ,1947,2024-02,GH13470,ADIVINACION  I,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,15342494,0,PASCAL AMAYA,HUERTA,ÓRDENES,1934,2024-02,GH13470,ADIVINACION  I,MAR,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,15342494,0,PASCAL AMAYA,HUERTA,ÓRDENES,1934,2024-02,GH13470,ADIVINACION  I,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,14068179,6,ANAHIS JELITT,MAYA,GUTIÉRREZ,1844,2024-02,GH13470,ADIVINACION  I,MAR,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,14068179,6,ANAHIS JELITT,MAYA,GUTIÉRREZ,1844,2024-02,GH13470,ADIVINACION  I,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,21844942,1,MONSERRATT EDITH,MIRANDA,ALCOZER,1851,2024-02,GH13470,ADIVINACION  I,MAR,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,21844942,1,MONSERRATT EDITH,MIRANDA,ALCOZER,1851,2024-02,GH13470,ADIVINACION  I,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,4517617,9,JAVIERA CONSTANZA,MUÑOZ,SILVA,1888,2024-02,GH13470,ADIVINACION  I,MAR,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,4517617,9,JAVIERA CONSTANZA,MUÑOZ,SILVA,1888,2024-02,GH13470,ADIVINACION  I,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,19501833,5,DIEGO ENRIQUE,PASTÉN,CALDERA,1879,2024-02,GH13470,ADIVINACION  I,MAR,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,19501833,5,DIEGO ENRIQUE,PASTÉN,CALDERA,1879,2024-02,GH13470,ADIVINACION  I,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,5791010,2,IGNACIO EDUARDO,REYNOSO,MUÑOZ,1932,2024-02,GH13470,ADIVINACION  I,MAR,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,5791010,2,IGNACIO EDUARDO,REYNOSO,MUÑOZ,1932,2024-02,GH13470,ADIVINACION  I,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,6099210,7,ANISE GABRIELA,SOBINO,MOSCOSO,1933,2024-02,GH13470,ADIVINACION  I,MAR,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,6099210,7,ANISE GABRIELA,SOBINO,MOSCOSO,1933,2024-02,GH13470,ADIVINACION  I,DIC,,
PH1,Magia Castelobruxo PLAN 2005 (DIURNO),2022-01,Beauxbaton,8455324,0,KHARLA JAVIERA,VERA,SANTANDER,1827,2024-02,GH13470,ADIVINACION  I,MAR,,
